10/21/2019
ClinoTestDesorb5_10/21/2019
ZZ
Time (d:h:m:s)	NDIR Concentration (ppm)	Temperature (C)	N2 MFC Flowrate (sccm)	NH3 MFC Flowrate (sccm)	294:09:27:02	155.931	25.222	0.100	0.400
294:09:29:55	97.455	25.074	0.100	0.400
294:09:29:57	116.947	25.088	0.100	0.400
294:09:29:58	97.455	25.077	0.100	0.400
294:09:29:59	116.947	25.084	0.100	0.400
294:09:30:00	97.455	25.084	0.100	0.400
294:09:30:01	116.947	25.081	0.100	0.400
294:09:30:02	97.455	25.077	0.100	0.400
294:09:30:03	116.947	25.084	0.100	0.400
294:09:30:04	116.947	25.084	0.100	0.400
294:09:30:05	116.947	25.063	0.100	0.400
294:09:30:06	116.947	25.070	0.100	0.400
294:09:30:07	116.947	25.070	0.100	0.400
294:09:30:08	116.947	25.070	0.100	0.400
294:09:30:09	116.947	25.067	0.100	0.400
294:09:30:10	116.947	25.060	0.100	0.400
294:09:30:11	97.455	25.060	0.100	0.400
294:09:30:13	116.947	25.060	0.100	0.400
294:09:30:14	116.947	25.057	0.100	0.400
294:09:30:15	97.455	25.053	0.100	0.400
294:09:30:16	116.947	25.057	0.100	0.400
294:09:30:17	116.947	25.039	0.100	0.400
294:09:30:18	116.947	25.039	0.100	0.400
294:09:30:19	116.947	25.036	0.100	0.400
294:09:30:20	116.947	25.046	0.100	0.400
294:09:30:21	116.947	25.053	0.100	0.400
294:09:30:22	116.947	25.050	0.100	0.400
294:09:30:23	116.947	25.053	0.100	0.400
294:09:30:24	116.947	25.057	0.100	0.400
294:09:30:25	97.455	25.046	0.100	0.400
294:09:30:26	116.947	25.053	0.100	0.400
294:09:30:27	116.947	25.063	0.100	0.400
294:09:30:29	116.947	25.063	0.100	0.400
294:09:30:30	116.947	25.060	0.100	0.400
294:09:30:31	116.947	25.060	0.100	0.400
294:09:30:32	116.947	25.067	0.100	0.400
294:09:30:33	116.947	25.074	0.100	0.400
294:09:30:34	97.455	25.067	0.100	0.400
294:09:30:35	116.947	25.074	0.100	0.400
294:09:30:36	97.455	25.081	0.100	0.400
294:09:30:37	116.947	25.070	0.100	0.400
294:09:30:38	116.947	25.077	0.100	0.400
294:09:30:39	116.947	25.077	0.100	0.400
294:09:30:40	97.455	25.077	0.100	0.400
294:09:30:41	97.455	25.081	0.100	0.400
294:09:30:42	116.947	25.081	0.100	0.400
294:09:30:43	116.947	25.070	0.100	0.400
294:09:30:45	97.455	25.077	0.100	0.400
294:09:30:46	116.947	25.081	0.100	0.400
294:09:30:47	97.455	25.084	0.100	0.400
294:09:30:48	97.455	25.091	0.100	0.400
294:09:30:49	97.455	25.088	0.100	0.400
294:09:30:50	116.947	25.084	0.100	0.400
294:09:30:51	116.947	25.084	0.100	0.400
294:09:30:52	116.947	25.088	0.100	0.400
294:09:30:53	97.455	25.081	0.100	0.400
294:09:30:54	116.947	25.088	0.100	0.400
294:09:30:55	116.947	25.084	0.100	0.400
294:09:30:56	116.947	25.084	0.100	0.400
294:09:30:57	97.455	25.088	0.100	0.400
294:09:30:58	116.947	25.074	0.100	0.400
294:09:30:59	116.947	25.074	0.100	0.400
294:09:31:01	116.947	25.081	0.100	0.400
294:09:31:02	116.947	25.088	0.100	0.400
294:09:31:03	116.947	25.091	0.100	0.400
294:09:31:04	116.947	25.098	0.100	0.400
294:09:31:05	116.947	25.101	0.100	0.400
294:09:31:06	116.947	25.105	0.100	0.400
294:09:31:07	116.947	25.098	0.100	0.400
294:09:31:08	116.947	25.095	0.100	0.400
294:09:31:09	97.455	25.101	0.100	0.400
294:09:31:10	116.947	25.108	0.100	0.400
294:09:31:11	116.947	25.101	0.100	0.400
294:09:31:12	97.455	25.108	0.100	0.400
294:09:31:13	97.455	25.108	0.100	0.400
294:09:31:14	116.947	25.119	0.100	0.400
294:09:31:15	97.455	25.126	0.100	0.400
294:09:31:17	116.947	25.139	0.100	0.400
294:09:31:18	116.947	25.143	0.100	0.400
294:09:31:19	97.455	25.150	0.100	0.400
294:09:31:20	97.455	25.153	0.100	0.400
294:09:31:21	97.455	25.150	0.100	0.400
294:09:31:22	116.947	25.157	0.100	0.400
294:09:31:23	97.455	25.153	0.100	0.400
294:09:31:24	116.947	25.164	0.100	0.400
294:09:31:25	116.947	25.160	0.100	0.400
294:09:31:26	97.455	25.153	0.100	0.400
294:09:31:27	116.947	25.171	0.100	0.400
294:09:31:28	116.947	25.167	0.100	0.400
294:09:31:29	116.947	25.177	0.100	0.400
294:09:31:30	116.947	25.184	0.100	0.400
294:09:31:31	116.947	25.188	0.100	0.400
294:09:31:33	97.455	25.202	0.100	0.400
294:09:31:34	116.947	25.205	0.100	0.400
294:09:31:35	116.947	25.209	0.100	0.400
294:09:31:36	116.947	25.212	0.100	0.400
294:09:31:37	116.947	25.222	0.100	0.400
294:09:31:38	116.947	25.222	0.100	0.400
294:09:31:39	116.947	25.236	0.100	0.400
294:09:31:40	116.947	25.250	0.100	0.400
294:09:31:41	97.455	25.253	0.100	0.400
294:09:31:42	116.947	25.253	0.100	0.400
294:09:31:43	116.947	25.267	0.100	0.400
294:09:31:44	116.947	25.271	0.100	0.400
294:09:31:45	116.947	25.278	0.100	0.400
294:09:31:46	116.947	25.295	0.100	0.400
294:09:31:47	116.947	25.295	0.100	0.400
294:09:31:49	116.947	25.312	0.100	0.400
294:09:31:50	116.947	25.326	0.100	0.400
294:09:31:51	116.947	25.336	0.100	0.400
294:09:31:52	116.947	25.347	0.100	0.400
294:09:31:53	116.947	25.357	0.100	0.400
294:09:31:54	97.455	25.374	0.100	0.400
294:09:31:55	116.947	25.371	0.100	0.400
294:09:31:56	97.455	25.378	0.100	0.400
294:09:31:57	116.947	25.388	0.100	0.400
294:09:31:58	116.947	25.395	0.100	0.400
294:09:31:59	116.947	25.405	0.100	0.400
294:09:32:00	116.947	25.416	0.100	0.400
294:09:32:01	116.947	25.419	0.100	0.400
294:09:32:02	116.947	25.423	0.100	0.400
294:09:32:03	97.455	25.426	0.100	0.400
294:09:32:05	116.947	25.436	0.100	0.400
294:09:32:06	97.455	25.447	0.100	0.400
294:09:32:07	116.947	25.457	0.100	0.400
294:09:32:08	116.947	25.461	0.100	0.400
294:09:32:09	116.947	25.461	0.100	0.400
294:09:32:10	116.947	25.481	0.100	0.400
294:09:32:11	97.455	25.492	0.100	0.400
294:09:32:12	116.947	25.492	0.100	0.400
294:09:32:13	116.947	25.516	0.100	0.400
294:09:32:14	116.947	25.523	0.100	0.400
294:09:32:15	116.947	25.530	0.100	0.400
294:09:32:16	116.947	25.544	0.100	0.400
294:09:32:17	116.947	25.557	0.100	0.400
294:09:32:18	116.947	25.568	0.100	0.400
294:09:32:19	116.947	25.581	0.100	0.400
294:09:32:21	97.455	25.609	0.100	0.400
294:09:32:22	97.455	25.623	0.100	0.400
294:09:32:23	116.947	25.630	0.100	0.400
294:09:32:24	116.947	25.637	0.100	0.400
294:09:32:25	97.455	25.644	0.100	0.400
294:09:32:26	116.947	25.664	0.100	0.400
294:09:32:27	116.947	25.671	0.100	0.400
